"id","genus","species","scientificname"
106,"Andropogon","gerardii","Andropogon gerardii"
938,"Panicum","virgatum","Panicum virgatum"
2660,"Bouteloua",NA,"Bouteloua gracilis"
2676,"Schizachyrium",NA,"Schizachyrium scoparium"
2684,"Sorghastrum",NA,"Sorghastrum nutans"
2685,"Sporobolus",NA,"Sporobolus heterolepis"
2686,"Tridens",NA,"Tridens flavus"
2687,"Tripsacum",NA,"Tripsacum dactyloides"
25978,"Bouteloua",NA,"Bouteloua eriopoda"
40750,"Aristida",NA,"Aristida purpurea"
45104,"Schizachyrium",NA,"Schizachyrium scoparium var. divergens"
45115,"Schizachyrium",NA,"Schizachyrium scoparium var. scoparium"
45126,"Schizachyrium",NA,"Schizachyrium scoparium var. stoloniferum"
49948,"Andropogon",NA,"Andropogon gerardi"
