"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
47976,660,993,1963,"lab experiment ungalled-4-days after being watered to saturation",NA,NA,NA,2653,10.1523,"SE",1.3,20,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,10.1523,1.3
47970,660,993,1958,"drought stressed-galled",NA,NA,NA,2653,17.7267,"SE",0.62,10,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,17.7267,0.62
47971,660,993,1958,"drought stressed-galled",NA,NA,NA,2653,18.9618,"SE",0.69,10,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,18.9618,0.69
47972,660,993,1959,"well watered-galled",NA,NA,NA,2653,22.9543,"SE",0.53,10,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,22.9543,0.53
47973,660,993,1961,"well watered-ungalled",NA,NA,NA,2653,23.6316,"SE",0.81,10,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,23.6316,0.81
47974,660,993,1960,"lab experiment ungalled-1-day after being watered to saturation",NA,NA,NA,2653,12.9422,"SE",0.93,20,"stomatal_slope",NA,-96.58,39.08,TRUE,NA,12.9422,0.93
47975,660,993,1962,"lab experiment ungalled-2-days after being watered to saturation",NA,NA,NA,2653,11.3508,"SE",0.83,20,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,11.3508,0.83
47977,660,993,1964,"lab experiment galled-1-day after being watered to saturation",NA,NA,NA,2653,12.764,"",NA,20,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,12.764,NA
47978,660,993,1965,"lab experiment galled-2-days after being watered to saturation",NA,NA,NA,2653,12.8754,"",NA,20,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,12.8754,NA
47979,660,993,1966,"lab experiment galled-4-days after being watered to saturation",NA,NA,NA,2653,12.084,"SE",2.59,20,"stomatal_slope",NA,-96.58,39.08,FALSE,NA,12.084,2.59
45837,199,76,0,NA,2010-07-15,"00:00:00",0,50966,12,"",NA,1,"SLA",7,-88.202,40.0637,NA,FALSE,12,NA
45838,199,76,0,NA,2010-07-15,"00:00:00",0,50966,9.1351,"",NA,1,"SLA",7,-88.202,40.0637,NA,FALSE,9.1351,NA
45839,199,76,0,NA,2010-07-15,"00:00:00",0,50966,9,"",NA,1,"SLA",7,-88.202,40.0637,NA,FALSE,9,NA
45885,199,76,0,NA,2010-08-15,"00:00:00",0,50966,12.0825,"",NA,1,"SLA",8,-88.202,40.0637,NA,FALSE,12.0825,NA
45934,199,76,0,NA,2010-09-15,"00:00:00",0,50966,15.6951,"",NA,1,"SLA",9,-88.202,40.0637,NA,FALSE,15.6951,NA
45935,199,76,0,NA,2010-09-15,"00:00:00",0,50966,12,"",NA,1,"SLA",9,-88.202,40.0637,NA,FALSE,12,NA
45936,199,76,0,NA,2010-09-15,"00:00:00",0,50966,12,"",NA,1,"SLA",9,-88.202,40.0637,NA,FALSE,12,NA
45937,199,76,0,NA,2010-09-15,"00:00:00",0,50966,9.5852,"",NA,1,"SLA",9,-88.202,40.0637,NA,FALSE,9.5852,NA
45978,199,76,0,NA,2010-10-15,"00:00:00",0,50966,10.5152,"",NA,1,"SLA",10,-88.202,40.0637,NA,FALSE,10.5152,NA
45979,199,76,0,NA,2010-10-15,"00:00:00",0,50966,11.236,"",NA,1,"SLA",10,-88.202,40.0637,NA,FALSE,11.236,NA
45980,199,76,0,NA,2010-10-15,"00:00:00",0,50966,9.7828,"",NA,1,"SLA",10,-88.202,40.0637,NA,FALSE,9.7828,NA
45981,199,76,0,NA,2010-10-15,"00:00:00",0,50966,8.8574,"",NA,1,"SLA",10,-88.202,40.0637,NA,FALSE,8.8574,NA
46020,199,76,0,NA,2011-05-15,"00:00:00",0,50966,13.8735,"",NA,1,"SLA",5,-88.202,40.0637,NA,FALSE,13.8735,NA
46021,199,76,0,NA,2011-05-15,"00:00:00",0,50966,14.5349,"",NA,1,"SLA",5,-88.202,40.0637,NA,FALSE,14.5349,NA
46073,199,76,0,NA,2011-06-15,"00:00:00",0,50966,14.616,"",NA,1,"SLA",6,-88.202,40.0637,NA,FALSE,14.616,NA
46074,199,76,0,NA,2011-06-15,"00:00:00",0,50966,14.6619,"",NA,1,"SLA",6,-88.202,40.0637,NA,FALSE,14.6619,NA
46075,199,76,0,NA,2011-06-15,"00:00:00",0,50966,13.8171,"",NA,1,"SLA",6,-88.202,40.0637,NA,FALSE,13.8171,NA
