"id","genus","species","scientificname"
146,"Asimina","triloba","Asimina triloba"
268,"Carya","alba","Carya alba"
270,"Carya","carolinae-septentrionalis","Carya carolinae-septentrionalis"
272,"Carya","glabra","Carya glabra"
273,"Carya","illinoinensis","Carya illinoinensis"
274,"Carya","laciniosa","Carya laciniosa"
275,"Carya","myristiciformis","Carya myristiciformis"
278,"Carya","pallida","Carya pallida"
279,"Carya","texana","Carya texana"
288,"Castanea","mollissima","Castanea mollissima"
289,"Castanea","pumila","Castanea pumila"
290,"Castanea","pumila","Castanea pumila var ozarkensis"
307,"Celtis",NA,"Celtis"
309,"Celtis","laevigata","Celtis laevigata"
315,"Cercis","canadensis","Cercis canadensis"
384,"Cornus",NA,"Cornus"
385,"Cornus","alternifolia","Cornus alternifolia"
396,"Cotinus","obovatus","Cotinus obovatus"
568,"Fraxinus",NA,"Fraxinus"
571,"Fraxinus","caroliniana","Fraxinus caroliniana"
577,"Fraxinus","quadrangulata","Fraxinus quadrangulata"
637,"Hamamelis","virginiana","Hamamelis virginiana"
815,"Magnolia",NA,"Magnolia"
816,"Magnolia","acuminata","Magnolia acuminata"
817,"Magnolia","fraseri","Magnolia fraseri"
819,"Magnolia","macrophylla","Magnolia macrophylla"
821,"Magnolia","tripetala","Magnolia tripetala"
827,"Malus","angustifolia","Malus angustifolia"
875,"Morus",NA,"Morus"
901,"Nyssa","sylvatica","Nyssa sylvatica"
1126,"Pyrularia","pubera","Pyrularia pubera"
1129,"Quercus",NA,"Quercus"
1133,"Quercus","buckleyi","Quercus buckleyi"
1136,"Quercus","coccinea","Quercus coccinia"
1139,"Quercus","falcata","Quercus falcata"
1143,"Quercus","imbricaria","Quercus imbricaria"
1144,"Quercus","incana","Quercus incana"
1145,"Quercus","kelloggii","Quercus kelloggii"
1146,"Quercus","laevis","Quercus laevis"
1147,"Quercus","laurifolia","Quercus laurifolia"
1151,"Quercus","margarettiae","Quercus margarettiae"
1152,"Quercus","marilandica","Quercus marilandica"
1153,"Quercus","michauxii","Quercus michauxii"
1156,"Quercus","muehlenbergii","Quercus muehlenbergii"
1157,"Quercus","nigra","Quercus nigra"
1158,"Quercus","oglethorpensis","Quercus oglethorpensis"
1159,"Quercus","pagoda","Quercus pagoda"
1162,"Quercus","phellos","Quercus phellos"
1164,"Quercus","prinus","Quercus prinus"
1172,"Quercus","shumardii","Quercus shumardii"
1173,"Quercus","similis","Quercus similis"
1174,"Quercus","sinuata","Quercus sinuata var sinuata"
1175,"Quercus","stellata","Quercus stellata"
1355,"Swietenia","mahagoni","Swietenia mahogoni"
1401,"Triadica","sebifera","Triadica sebifera"
1428,"Ulmus","alata","Ulmus alata"
1430,"Ulmus","crassifolia","Ulmus crassifolia"
1435,"Ulmus","serotina","Ulmus serotina"
50871,"Quercus",NA,"Quercus margaretta"
