"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
37759,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,396,27.6078,"SE",2.12941453080418,10,"c2n_leaf",6,NA,NA,TRUE,NA,27.6078,2.12941453080418
37780,381,602,1220,"observational",2010-08-01 00:00:00,"00:00:00",NA,396,20.9473,"SE",1.28201898620886,10,"c2n_leaf",8,NA,NA,TRUE,NA,20.9473,1.28201898620886
39735,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1164,25.8,"SE",1.49,6,"c2n_leaf",6,-74.029,41.406,FALSE,FALSE,25.8,1.49
39736,447,682,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1164,26.3,"SE",0.78,6,"c2n_leaf",6,-74.029,41.406,FALSE,FALSE,26.3,0.78
37801,381,602,1220,"observational",2010-09-01 00:00:00,"00:00:00",NA,396,19.7981,"SE",0.898403083253837,10,"c2n_leaf",9,NA,NA,TRUE,NA,19.7981,0.898403083253837
50586,734,1120,2158,"Observational",NA,NA,NA,272,32.4324324324324,"SE",NA,NA,"leafN",NA,-85.3483,42.3331,TRUE,NA,1.48,NA
34976,338,551,1095,"TurnUU",1999-06-01 00:00:00,"00:00:00",NA,1164,22.2719187848815,"SE",0.434175587581738,9,"leafN",6,-74.02,41.4,TRUE,FALSE,2.156,0.042
34977,338,551,1097,"TurnUM",1999-06-01 00:00:00,"00:00:00",NA,1164,20.791463178557,"SE",0.504700567253462,9,"leafN",6,-74.02,41.4,TRUE,FALSE,2.31,0.056
34978,338,551,1099,"TurnUL",1999-06-01 00:00:00,"00:00:00",NA,1164,20.1743622093294,"SE",0.35619935161398,9,"leafN",6,-74.02,41.4,TRUE,FALSE,2.38,0.042
34979,338,551,1096,"TurnLU",1999-06-01 00:00:00,"00:00:00",NA,1164,20.7861055025054,"SE",0.37814264608867,9,"leafN",6,-74.02,41.4,TRUE,FALSE,2.31,0.042
34980,338,551,1098,"TurnLM",1999-06-01 00:00:00,"00:00:00",NA,1164,20.9129347725778,"SE",0.38277426477548,9,"leafN",6,-74.02,41.4,TRUE,FALSE,2.296,0.042
34981,338,551,1100,"TurnLL",1999-06-01 00:00:00,"00:00:00",NA,1164,21.1769568405977,"SE",0.523611700994122,9,"leafN",6,-74.02,41.4,TRUE,FALSE,2.268,0.056
38257,410,619,1293,"Observational",NA,"00:00:00",NA,1164,30.275685934114,"SE",1.63175705857387,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.59,0.085
38258,410,619,1293,"Observational",NA,"00:00:00",NA,1164,35.4688385495467,"SE",2.51356907434906,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.36,0.095
38259,410,619,1293,"Observational",NA,"00:00:00",NA,1164,30.6434927525337,"SE",1.47325370522997,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.57,0.075
38260,410,619,1293,"Observational",NA,"00:00:00",NA,1164,37.0310522626452,"SE",2.01055347499395,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.3,0.07
38261,410,619,1293,"Observational",NA,"00:00:00",NA,1164,32.00570353234,"SE",0.426794676678365,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.5,0.02
38262,410,619,1293,"Observational",NA,"00:00:00",NA,272,34.3600975323253,"SE",1.60491059016223,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.4,0.065
