"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
47444,199,76,0,NA,2010-07-15,"00:00:00",0,2644,24.96,"",NA,1,"c2n_leaf",7,-88.202,40.0637,NA,FALSE,24.96,NA
47445,199,76,0,NA,2010-07-15,"00:00:00",0,2644,23.9821,"",NA,1,"c2n_leaf",7,-88.202,40.0637,NA,FALSE,23.9821,NA
47446,199,76,0,NA,2010-07-15,"00:00:00",0,2644,23.7719,"",NA,1,"c2n_leaf",7,-88.202,40.0637,NA,FALSE,23.7719,NA
47494,199,76,0,NA,2010-08-15,"00:00:00",0,2644,25.8065,"",NA,1,"c2n_leaf",8,-88.202,40.0637,NA,FALSE,25.8065,NA
47495,199,76,0,NA,2010-08-15,"00:00:00",0,2644,27.3973,"",NA,1,"c2n_leaf",8,-88.202,40.0637,NA,FALSE,27.3973,NA
47631,199,76,0,NA,2011-05-15,"00:00:00",0,2644,17.4469,"",NA,1,"c2n_leaf",5,-88.202,40.0637,NA,FALSE,17.4469,NA
47632,199,76,0,NA,2011-05-15,"00:00:00",0,2644,17.8631,"",NA,1,"c2n_leaf",5,-88.202,40.0637,NA,FALSE,17.8631,NA
47633,199,76,0,NA,2011-05-15,"00:00:00",0,2644,16.4093,"",NA,1,"c2n_leaf",5,-88.202,40.0637,NA,FALSE,16.4093,NA
47670,199,76,0,NA,2011-06-15,"00:00:00",0,48461,44.7326,"",NA,1,"c2n_leaf",6,-88.202,40.0637,NA,FALSE,44.7326,NA
47671,199,76,0,NA,2011-06-15,"00:00:00",0,48461,28.3699,"",NA,1,"c2n_leaf",6,-88.202,40.0637,NA,FALSE,28.3699,NA
47688,199,76,0,NA,2011-06-15,"00:00:00",0,2644,25.4699,"",NA,1,"c2n_leaf",6,-88.202,40.0637,NA,FALSE,25.4699,NA
47689,199,76,0,NA,2011-06-15,"00:00:00",0,2644,22.2553,"",NA,1,"c2n_leaf",6,-88.202,40.0637,NA,FALSE,22.2553,NA
47690,199,76,0,NA,2011-06-15,"00:00:00",0,2644,30.4203,"",NA,1,"c2n_leaf",6,-88.202,40.0637,NA,FALSE,30.4203,NA
47740,199,76,0,NA,2011-07-15,"00:00:00",0,48461,45.101,"",NA,1,"c2n_leaf",7,-88.202,40.0637,NA,FALSE,45.101,NA
47741,199,76,0,NA,2011-07-15,"00:00:00",0,48461,46.9787,"",NA,1,"c2n_leaf",7,-88.202,40.0637,NA,FALSE,46.9787,NA
47759,199,76,0,NA,2011-07-15,"00:00:00",0,2644,25.3457,"",NA,1,"c2n_leaf",7,-88.202,40.0637,NA,FALSE,25.3457,NA
47760,199,76,0,NA,2011-07-15,"00:00:00",0,2644,25.8,"",NA,1,"c2n_leaf",7,-88.202,40.0637,NA,FALSE,25.8,NA
47804,199,76,0,NA,2011-08-15,"00:00:00",0,48461,45.0316,"",NA,1,"c2n_leaf",8,-88.202,40.0637,NA,FALSE,45.0316,NA
47805,199,76,0,NA,2011-08-15,"00:00:00",0,48461,47.3371,"",NA,1,"c2n_leaf",8,-88.202,40.0637,NA,FALSE,47.3371,NA
47820,199,76,0,NA,2011-08-15,"00:00:00",0,2644,61.863,"",NA,1,"c2n_leaf",8,-88.202,40.0637,NA,FALSE,61.863,NA
47821,199,76,0,NA,2011-08-15,"00:00:00",0,2644,44.1415,"",NA,1,"c2n_leaf",8,-88.202,40.0637,NA,FALSE,44.1415,NA
47868,199,76,0,NA,2011-09-15,"00:00:00",0,48461,70.0328,"",NA,1,"c2n_leaf",9,-88.202,40.0637,NA,FALSE,70.0328,NA
47869,199,76,0,NA,2011-09-15,"00:00:00",0,48461,54.2692,"",NA,1,"c2n_leaf",9,-88.202,40.0637,NA,FALSE,54.2692,NA
47870,199,76,0,NA,2011-09-15,"00:00:00",0,48461,41.0583,"",NA,1,"c2n_leaf",9,-88.202,40.0637,NA,FALSE,41.0583,NA
47928,199,76,0,NA,2011-10-15,"00:00:00",0,48461,56.1467,"",NA,1,"c2n_leaf",10,-88.202,40.0637,NA,FALSE,56.1467,NA
47929,199,76,0,NA,2011-10-15,"00:00:00",0,48461,86.0217,"",NA,1,"c2n_leaf",10,-88.202,40.0637,NA,FALSE,86.0217,NA
