"","distn","parama","paramb","n"
"root_turnover_rate","weibull",1.55,0.862,47
"leaf_width","gamma",12.8,0.18,50
"growth_resp_factor","beta",4.06,7.2,0
"nonlocal_dispersal","beta",1.1,1.5,0
"fineroot2leaf","lnorm",0.21,0.6,0
"r_fract","beta",2,4,0
"leaf_turnover_rate","unif",0.04,1,NA
"c2n_leaf","unif",3,300,NA
"agf_bs","beta",1,1,NA
"SLA","weibull",2.1,12.1,967
"water_conductance","lnorm",-5.4,3,0
"mort3","unif",0,0.02,0
"veg_respiration_Q10","unif",1.4,2.6,NA
"Vcmax","weibull",1.7,80,0
"leaf_reflect_vis","unif",0.01,0.2,0
"leaf_reflect_nir","unif",0.01,0.3,0
"leaf_trans_vis","unif",0.01,0.2,0
"leaf_trans_nir","unif",0.01,0.6,0
"s_lignin","beta",1,1,NA
"CelluloseS","beta",1,1,NA
"orient_factor","unif",0,0.5,0
"wood_trans_vis","unif",0.001,0.005,0
"wood_trans_nir","unif",0.001,0.005,0
"wood_reflect_vis","unif",0.05,0.25,0
"wood_reflect_nir","unif",0.1,0.5,0
