"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
52117,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,72,22.71,"",NA,NA,"c2n_leaf",7,-65.74,18.31,TRUE,FALSE,22.71,NA
51802,782,1226,2434,"Observations",1992-06-15 04:00:00,NA,NA,130,51.3,"",NA,NA,"c2n_leaf",6,-65.74,18.31,TRUE,FALSE,51.3,NA
51752,782,1226,2434,"Observations",1990-12-11 04:00:00,NA,NA,230,37.16,"",NA,NA,"c2n_leaf",12,-65.74,18.31,TRUE,FALSE,37.16,NA
52202,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,280,17.63,"",NA,NA,"c2n_leaf",6,-65.74,18.31,TRUE,FALSE,17.63,NA
51972,782,1226,2434,"Observations",1990-08-03 04:00:00,NA,NA,281,12.67,"",NA,NA,"c2n_leaf",8,-65.74,18.31,TRUE,FALSE,12.67,NA
52087,782,1226,2434,"Observations",1993-08-12 04:00:00,NA,NA,305,20.34,"",NA,NA,"c2n_leaf",8,-65.74,18.31,TRUE,FALSE,20.34,NA
51732,782,1226,2434,"Observations",1992-04-21 04:00:00,NA,NA,360,33.56,"",NA,NA,"c2n_leaf",4,-65.74,18.31,TRUE,FALSE,33.56,NA
52037,782,1226,2434,"Observations",1992-08-03 04:00:00,NA,NA,363,12.83,"",NA,NA,"c2n_leaf",8,-65.74,18.31,TRUE,FALSE,12.83,NA
2000000301,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,380,11,"",NA,NA,"c2n_leaf",1,-79.542955,8.994504,NA,NA,11,NA
2000000321,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,380,11.6,"",NA,NA,"c2n_leaf",1,-79.542955,8.994504,NA,NA,11.6,NA
52057,782,1226,2434,"Observations",1990-08-27 04:00:00,NA,NA,381,20.12,"",NA,NA,"c2n_leaf",8,-65.74,18.31,TRUE,FALSE,20.12,NA
51962,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,406,10.22,"",NA,NA,"c2n_leaf",7,-65.74,18.31,TRUE,FALSE,10.22,NA
51902,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,421,29.95,"",NA,NA,"c2n_leaf",7,-65.74,18.31,TRUE,FALSE,29.95,NA
51827,782,1226,2434,"Observations",1992-06-19 04:00:00,NA,NA,426,15,"",NA,NA,"c2n_leaf",6,-65.74,18.31,TRUE,FALSE,15,NA
52077,782,1226,2434,"Observations",1992-07-06 04:00:00,NA,NA,530,32,"",NA,NA,"c2n_leaf",7,-65.74,18.31,TRUE,FALSE,32,NA
52052,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,621,20.29,"",NA,NA,"c2n_leaf",7,-65.74,18.31,TRUE,FALSE,20.29,NA
52322,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,622,16.93,"",NA,NA,"c2n_leaf",7,-65.74,18.31,TRUE,FALSE,16.93,NA
52142,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,693,15.02,"",NA,NA,"c2n_leaf",7,-65.74,18.31,TRUE,FALSE,15.02,NA
52222,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,704,10.4,"",NA,NA,"c2n_leaf",7,-65.74,18.31,TRUE,FALSE,10.4,NA
51737,782,1226,2434,"Observations",1991-02-25 04:00:00,NA,NA,820,39.12,"",NA,NA,"c2n_leaf",2,-65.74,18.31,TRUE,FALSE,39.12,NA
52017,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,857,24.22,"",NA,NA,"c2n_leaf",6,-65.74,18.31,TRUE,FALSE,24.22,NA
51887,782,1226,2434,"Observations",1990-12-05 04:00:00,NA,NA,858,22.72,"",NA,NA,"c2n_leaf",12,-65.74,18.31,TRUE,FALSE,22.72,NA
51882,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,879,29.68,"",NA,NA,"c2n_leaf",6,-65.74,18.31,TRUE,FALSE,29.68,NA
52242,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,880,32.53,"",NA,NA,"c2n_leaf",6,-65.74,18.31,TRUE,FALSE,32.53,NA
51867,782,1226,2434,"Observations",1992-06-05 04:00:00,NA,NA,903,19.32,"",NA,NA,"c2n_leaf",6,-65.74,18.31,TRUE,FALSE,19.32,NA
52047,782,1226,2434,"Observations",1990-08-31 04:00:00,NA,NA,912,17.93,"",NA,NA,"c2n_leaf",8,-65.74,18.31,TRUE,FALSE,17.93,NA
52372,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,1022,13.22,"",NA,NA,"c2n_leaf",6,-65.74,18.31,TRUE,FALSE,13.22,NA
51907,782,1226,2434,"Observations",1991-03-11 04:00:00,NA,NA,1025,28.97,"",NA,NA,"c2n_leaf",3,-65.74,18.31,TRUE,FALSE,28.97,NA
37764,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,1072,21.3338,"SE",1.5053,9,"c2n_leaf",6,NA,NA,TRUE,NA,21.3338,1.5053
