"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
39891,449,700,1434,"Canopy Level",1996-07-30 05:00:00,"00:00:00",NA,30,23,"SE",1.25,14,"SLA",7,-83.41,35.05,FALSE,FALSE,23,1.25
39890,449,700,1433,"Canopy Level",1996-07-30 05:00:00,"00:00:00",NA,30,15.1,"SE",0.84,30,"SLA",7,-83.41,35.05,FALSE,FALSE,15.1,0.84
39889,449,700,1432,"Canopy Level",1996-07-30 05:00:00,"00:00:00",NA,30,12.9,"SE",1.17,8,"SLA",7,-83.41,35.05,FALSE,FALSE,12.9,1.17
38727,415,627,1316,"Observational",NA,"00:00:00",NA,30,23.3,"",NA,NA,"SLA",NA,-89.56,44.54,TRUE,FALSE,23.3,NA
38602,415,630,1316,"Observational",NA,"00:00:00",NA,30,16.6,"",NA,NA,"SLA",NA,-89.4293,43.0399,TRUE,FALSE,16.6,NA
37384,398,609,1253,"Elevated CO2",NA,"00:00:00",NA,30,14.43,"SE",3.97,3,"SLA",NA,-72.02,42.08,FALSE,FALSE,14.43,3.97
37379,398,609,1254,"No nitrogen, ambient CO2",NA,"00:00:00",NA,30,15.49,"SE",3.29,3,"SLA",NA,-72.02,42.08,TRUE,FALSE,15.49,3.29
39725,447,682,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,30,14.09,"SE",0.53,6,"SLA",6,-74.029,41.406,FALSE,FALSE,14.09,0.53
39724,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,30,15.61,"SE",0.53,6,"SLA",6,-74.029,41.406,FALSE,FALSE,15.61,0.53
37604,381,602,1220,"observational",2010-09-01 00:00:00,"00:00:00",NA,30,12.1916,"SE",0.660367022950117,8,"SLA",9,NA,NA,TRUE,NA,12.1916,0.660367022950117
37583,381,602,1220,"observational",2010-08-01 00:00:00,"00:00:00",NA,30,15.3336,"SE",1.10152657858689,12,"SLA",8,NA,NA,TRUE,NA,15.3336,1.10152657858689
37562,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,30,11.9555,"SE",0.019869700551342,8,"SLA",6,NA,NA,TRUE,NA,11.9555,0.019869700551342
34969,338,551,1100,"TurnLL",1999-06-01 00:00:00,"00:00:00",NA,30,17.2,"SE",0.39,9,"SLA",6,-74.02,41.4,TRUE,FALSE,17.2,0.39
34968,338,551,1098,"TurnLM",1999-06-01 00:00:00,"00:00:00",NA,30,16.7,"SE",0.64,9,"SLA",6,-74.02,41.4,TRUE,FALSE,16.7,0.64
34964,338,551,1095,"TurnUU",1999-06-01 00:00:00,"00:00:00",NA,30,16.7,"SE",0.65,9,"SLA",6,-74.02,41.4,TRUE,FALSE,16.7,0.65
27314,333,530,1073,"Nikcss",NA,"00:00:00",NA,30,17.92,"SE",0.157429890581592,15,"SLA",NA,-76.49,42.44,TRUE,FALSE,17.92,0.157429890581592
27313,333,530,1072,"Nikoss",NA,"00:00:00",NA,30,17.67,"SE",0.112514734479063,15,"SLA",NA,-76.49,42.44,TRUE,FALSE,17.67,0.112514734479063
27312,333,530,1071,"Nikcns",NA,"00:00:00",NA,30,17.05,"SE",0.0617016285852926,15,"SLA",NA,-76.49,42.44,TRUE,FALSE,17.05,0.0617016285852926
34967,338,551,1096,"TurnLU",1999-06-01 00:00:00,"00:00:00",NA,30,14,"SE",0.3,9,"SLA",6,-74.02,41.4,TRUE,FALSE,14,0.3
34966,338,551,1099,"TurnUL",1999-06-01 00:00:00,"00:00:00",NA,30,22.8,"SE",0.61,9,"SLA",6,-74.02,41.4,TRUE,FALSE,22.8,0.61
34965,338,551,1097,"TurnUM",1999-06-01 00:00:00,"00:00:00",NA,30,19.8,"SE",0.58,9,"SLA",6,-74.02,41.4,TRUE,FALSE,19.8,0.58
26686,333,530,1065,"Nikonl",NA,"00:00:00",NA,30,19.03,"SE",0.106616784687822,15,"SLA",NA,-76.49,42.44,TRUE,FALSE,19.03,0.106616784687822
26679,333,530,1069,"Nikcsl",NA,"00:00:00",NA,30,25.72,"SE",0.0843860508592972,15,"SLA",NA,-76.49,42.44,TRUE,FALSE,25.72,0.0843860508592972
