"","distn","parama","paramb","n"
"mort2","gamma",1.47,0.0578,0
"water_conductance","lnorm",-5.4,0.4,0
"Jmax","norm",40,32,10
"Vm0","weibull",1.35,40,10
"leaf_width","gamma",3.06,0.07,90
"quantum_efficiency","norm",0.057,0.006,56
"root_respiration_rate","lnorm",2.07,0.4,39
"nonlocal_dispersal","beta",1.1,1.5,0
"stomatal_slope","lnorm",1.76,0.38,0
"fineroot2leaf","lnorm",0.21,0.6,0
"dark_respiration_factor","lnorm",-3.9,0.4,0
"r_fract","beta",2,4,0
"growth_resp_factor","beta",4,4.8,0
"leaf_turnover_rate","weibull",1.37,1.43,363
"root_turnover_rate","gamma",2.35,3.5,19
"storage_turnover_rate","lnorm",-0.69,0.16,0
"Vcmax","unif",0,500,NA
"SLA","weibull",2.1,12.1,967
