"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
22096,227,300,735,"normal atmospheric CO2 level",2010-09-27 00:00:00,"19:00:00",NA,1019,8.71,"SE",NA,NA,"SLA",9,-79.015,35.97,TRUE,FALSE,8.71,NA
22064,224,300,735,"normal atmospheric CO2 level",1998-07-15 05:00:00,"21:47:00",NA,1019,7.994,"SE",0.0981495457622364,3,"SLA",7,-79.015,35.97,TRUE,FALSE,7.994,0.0981495457622364
26933,336,NA,0,NA,NA,"00:00:00",0,1019,0.476,"",NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.476,NA
26932,336,NA,0,NA,NA,"00:00:00",0,1019,0.588,"",NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.588,NA
26931,336,NA,0,NA,NA,"00:00:00",0,1019,0.909,"",NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.909,NA
26930,336,NA,0,NA,NA,"00:00:00",0,1019,0.435,"",NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.435,NA
26929,336,NA,0,NA,NA,"00:00:00",0,1019,0.556,"",NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.556,NA
26928,336,NA,0,NA,NA,"00:00:00",0,1019,0.435,"",NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.435,NA
26927,336,NA,0,NA,NA,"00:00:00",0,1019,1,"",NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,1,NA
49720,689,853,2066,"Control",NA,NA,NA,1019,74,"SE",3,50,"Vcmax",NA,-79.0833,35.9667,TRUE,FALSE,74,3
49721,689,853,2066,"Control",NA,NA,NA,1019,53,"SE",3,50,"Vcmax",NA,-79.0833,35.9667,TRUE,FALSE,53,3
49722,689,853,2066,"Control",NA,NA,NA,1019,72,"SE",3,50,"Vcmax",NA,-79.0833,35.9667,TRUE,FALSE,72,3
49723,689,853,2066,"Control",NA,NA,NA,1019,61,"SE",1,50,"Vcmax",NA,-79.0833,35.9667,TRUE,FALSE,61,1
49747,235,300,735,"normal atmospheric CO2 level",NA,NA,NA,1019,0.42,"SE",0.044,3,"root_turnover_rate",NA,-79.015,35.97,TRUE,FALSE,0.42,0.044
49745,235,300,735,"normal atmospheric CO2 level",NA,NA,NA,1019,0.72,"SE",0.044,3,"root_turnover_rate",NA,-79.015,35.97,TRUE,FALSE,0.72,0.044
22157,235,300,735,"normal atmospheric CO2 level",NA,"19:53:00",NA,1019,0.56,"SE",0.044,3,"root_turnover_rate",NA,-79.015,35.97,TRUE,FALSE,0.56,0.044
