"id","genus","species","scientificname"
163,"Avicennia","germinans","Avicennia germinans"
292,"Casuarina","lepidophloia","Casuarina lepidophloia"
335,"Cinnamomum","camphora","Cinnamomum camphora"
372,"Conocarpus","erectus","Conocarpus erectus"
520,"Eucalyptus",NA,"Eucalyptus"
522,"Eucalyptus","grandis","Eucalyptus grandis"
612,"Gordonia","lasianthus","Gordonia lasianthus"
676,"Ilex","opaca","Ilex opaca"
746,"Laguncularia","racemosa","Laguncularia racemosa"
810,"Lysiloma","latisiliquum","Lysiloma latisiliquum"
818,"Magnolia","grandifolia","Magnolia grandifolia"
822,"Magnolia","virginiana","Magnolia virginiana"
840,"Melaleuca","quinquenervia","Melaleuca quinquenervia"
950,"Persea","borbonia","Persea borbonia"
1155,"Quercus","minima","Quercus minima"
1179,"Quercus","virginiana","Quercus virginiana"
1180,"Quercus","wislizeni","Quercus wislizeni"
1196,"Rhizophora","mangle","Rhizophora mangle"
1437,"Umbellularia","californica","Umbellularia californica"
