"","distn","parama","paramb","n"
"mort2","gamma",1.47,0.0578,0
"f_labile","beta",1.5,1.5,0
"water_conductance","lnorm",-5.4,0.4,0
"root_turnover_rate","weibull",1.55,0.862,47
"leaf_width","gamma",12.8,0.18,50
"quantum_efficiency","weibull",8.32,0.0552,74
"root_respiration_rate","gamma",4.95,0.762,36
"growth_resp_factor","beta",4.06,7.2,0
"nonlocal_dispersal","beta",1.1,1.5,0
"stomatal_slope","weibull",7.11,6.29,16
"fineroot2leaf","lnorm",0.21,0.6,0
"dark_respiration_factor","lnorm",-3.9,0.4,0
"r_fract","beta",2,4,0
"leaf_turnover_rate","weibull",1.37,1.43,363
"SLA","weibull",2.1,12.1,967
"shoot_density_dead","lnorm",1.14,0.49,39
"Vcmax","unif",0,300,NA
"c2n_fineroot","unif",0,500,0
