"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
39426,437,666,1374,"control",2003-01-01 06:00:00,"00:00:00",NA,787,0.557,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.557,NA
39425,437,666,1374,"control",2003-01-01 06:00:00,"00:00:00",NA,787,0.235,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.235,NA
39424,437,666,1374,"control",2003-01-01 06:00:00,"00:00:00",NA,787,0.157,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.157,NA
39423,437,666,1375,"elevated CO2",2003-01-01 06:00:00,"00:00:00",NA,787,0.56,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,0.56,NA
39422,437,666,1375,"elevated CO2",2003-01-01 06:00:00,"00:00:00",NA,787,0.76,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,0.76,NA
39421,437,666,1374,"control",2002-01-01 06:00:00,"00:00:00",NA,787,0.79,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.79,NA
39420,437,666,1374,"control",2002-01-01 06:00:00,"00:00:00",NA,787,0.41,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.41,NA
39419,437,666,1374,"control",2002-01-01 06:00:00,"00:00:00",NA,787,0.38,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.38,NA
39418,437,666,1375,"elevated CO2",2002-01-01 06:00:00,"00:00:00",NA,787,1.12,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,1.12,NA
39417,437,666,1375,"elevated CO2",2002-01-01 06:00:00,"00:00:00",NA,787,2.12,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,2.12,NA
39415,437,666,1374,"control",2001-01-01 06:00:00,"00:00:00",NA,787,0.78,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.78,NA
39414,437,666,1374,"control",2001-01-01 06:00:00,"00:00:00",NA,787,0.2,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.2,NA
39413,437,666,1375,"elevated CO2",2001-01-01 06:00:00,"00:00:00",NA,787,0.69,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,0.69,NA
39412,437,666,1375,"elevated CO2",2001-01-01 06:00:00,"00:00:00",NA,787,2.74,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,2.74,NA
39411,437,666,1374,"control",2000-01-01 06:00:00,"00:00:00",NA,787,0.97,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.97,NA
39410,437,666,1374,"control",2000-01-01 06:00:00,"00:00:00",NA,787,0.54,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.54,NA
39409,437,666,1374,"control",2000-01-01 06:00:00,"00:00:00",NA,787,0.21,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.21,NA
39408,437,666,1375,"elevated CO2",2000-01-01 06:00:00,"00:00:00",NA,787,0.71,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,0.71,NA
39407,437,666,1375,"elevated CO2",2000-01-01 06:00:00,"00:00:00",NA,787,1.33,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,1.33,NA
39406,437,666,1374,"control",1999-01-01 06:00:00,"00:00:00",NA,787,0.45,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.45,NA
39405,437,666,1374,"control",1999-01-01 06:00:00,"00:00:00",NA,787,0.84,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.84,NA
39404,437,666,1374,"control",1999-01-01 06:00:00,"00:00:00",NA,787,0.3,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.3,NA
39403,437,666,1375,"elevated CO2",1999-01-01 06:00:00,"00:00:00",NA,787,0.52,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,0.52,NA
39402,437,666,1375,"elevated CO2",1998-01-01 06:00:00,"00:00:00",NA,787,0.62,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,0.62,NA
39401,437,666,1374,"control",1998-01-01 06:00:00,"00:00:00",NA,787,0.15,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.15,NA
39400,437,666,1374,"control",1998-01-01 06:00:00,"00:00:00",NA,787,0.5,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.5,NA
39399,437,666,1375,"elevated CO2",1998-01-01 06:00:00,"00:00:00",NA,787,0.46,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,0.46,NA
39398,437,666,1375,"elevated CO2",1998-01-01 06:00:00,"00:00:00",NA,787,0.69,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,0.69,NA
39397,437,666,1375,"elevated CO2",1998-01-01 06:00:00,"00:00:00",NA,787,2.38,"",NA,1,"fineroot2leaf",1,-84.31,35.93,FALSE,NA,2.38,NA
39416,437,666,1374,"control",2001-01-01 06:00:00,"00:00:00",NA,787,1.756,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,1.756,NA
22168,239,669,746,"ambient CO2 level",2006-09-14 05:00:00,"21:58:00",NA,787,1,"SE",NA,NA,"fineroot2leaf",9,-84.33,35.9,TRUE,FALSE,1,NA
39451,437,666,1374,"control",2008-01-01 06:00:00,"00:00:00",NA,787,0.33,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.33,NA
39450,437,666,1374,"control",2008-01-01 06:00:00,"00:00:00",NA,787,0.058,"",NA,1,"fineroot2leaf",1,-84.31,35.93,TRUE,NA,0.058,NA
