"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
39732,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,27.4,"SE",0.7,6,"c2n_leaf",6,-74.029,41.406,FALSE,FALSE,27.4,0.7
39733,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,27.4,"SE",0.7,6,"c2n_leaf",6,-74.029,41.406,FALSE,FALSE,27.4,0.7
39734,447,682,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,29.6,"SE",0.63,6,"c2n_leaf",6,-74.029,41.406,FALSE,FALSE,29.6,0.63
37419,398,609,1253,"Elevated CO2",NA,"00:00:00",NA,1170,48.09,"SE",6.56,3,"c2n_leaf",NA,-72.02,42.08,FALSE,FALSE,48.09,6.56
37421,398,609,1254,"No nitrogen, ambient CO2",NA,"00:00:00",NA,1170,33.88,"SE",8.2,3,"c2n_leaf",NA,-72.02,42.08,TRUE,FALSE,33.88,8.2
37435,398,609,1254,"No nitrogen, ambient CO2",NA,"00:00:00",NA,1170,34.43,"SE",6.56,3,"c2n_leaf",NA,-72.02,42.08,TRUE,FALSE,34.43,6.56
37436,398,609,1253,"Elevated CO2",NA,"00:00:00",NA,1170,43.72,"SE",10.93,3,"c2n_leaf",NA,-72.02,42.08,FALSE,FALSE,43.72,10.93
50465,729,1110,2154,"Urban",NA,NA,NA,1170,69.5652173913044,"",NA,NA,"leafN",NA,-73.8783,40.8636,TRUE,NA,0.69,NA
50466,729,1110,2154,"Urban",NA,NA,NA,1170,63.1578947368421,"",NA,NA,"leafN",NA,-73.8783,40.8636,TRUE,NA,0.76,NA
50467,729,1111,2154,"Urban",NA,NA,NA,1170,60,"",NA,NA,"leafN",NA,-73.8839,40.8978,TRUE,NA,0.8,NA
50468,729,1112,2154,"Urban",NA,NA,NA,1170,53.9325842696629,"",NA,NA,"leafN",NA,-73.8083,40.8656,TRUE,NA,0.89,NA
50469,729,1113,2155,"Suburban",NA,NA,NA,1170,65.7534246575343,"",NA,NA,"leafN",NA,-73.758563,40.982921,TRUE,NA,0.73,NA
50470,729,1113,2155,"Suburban",NA,NA,NA,1170,66.6666666666667,"",NA,NA,"leafN",NA,-73.758563,40.982921,TRUE,NA,0.72,NA
50471,729,1114,2155,"Suburban",NA,NA,NA,1170,67.6056338028169,"",NA,NA,"leafN",NA,-73.568024,41.307678,TRUE,NA,0.71,NA
50472,729,1115,2156,"Rural",NA,NA,NA,1170,57.8313253012048,"",NA,NA,"leafN",NA,-73.2833,41.8167,TRUE,NA,0.83,NA
50473,729,1115,2156,"Rural",NA,NA,NA,1170,60.7594936708861,"",NA,NA,"leafN",NA,-73.2833,41.8167,TRUE,NA,0.79,NA
50475,729,1116,2156,"Rural",NA,NA,NA,1170,63.1578947368421,"",NA,NA,"leafN",NA,-73.3091,41.9161,TRUE,NA,0.76,NA
50476,729,1116,2156,"Rural",NA,NA,NA,1170,62.3376623376623,"",NA,NA,"leafN",NA,-73.3091,41.9161,TRUE,NA,0.77,NA
34970,338,551,1095,"TurnUU",1999-06-01 00:00:00,"00:00:00",NA,1170,23.0271754332631,"SE",0.619238009626439,9,"leafN",6,-74.02,41.4,TRUE,FALSE,2.086,0.056
34971,338,551,1097,"TurnUM",1999-06-01 00:00:00,"00:00:00",NA,1170,23.0198959771387,"SE",0.463850971812113,9,"leafN",6,-74.02,41.4,TRUE,FALSE,2.086,0.042
34972,338,551,1099,"TurnUL",1999-06-01 00:00:00,"00:00:00",NA,1170,24.6711005839717,"SE",0.355053015897965,9,"leafN",6,-74.02,41.4,TRUE,FALSE,1.946,0.028
34973,338,551,1096,"TurnLU",1999-06-01 00:00:00,"00:00:00",NA,1170,25.222379978387,"SE",0.556944516935406,9,"leafN",6,-74.02,41.4,TRUE,FALSE,1.904,0.042
34974,338,551,1098,"TurnLM",1999-06-01 00:00:00,"00:00:00",NA,1170,24.155670987736,"SE",0.510792184745948,9,"leafN",6,-74.02,41.4,TRUE,FALSE,1.988,0.042
34975,338,551,1100,"TurnLL",1999-06-01 00:00:00,"00:00:00",NA,1170,26.2106008908588,"SE",1.00431894754275,9,"leafN",6,-74.02,41.4,TRUE,FALSE,1.834,0.07
38267,410,619,1293,"Observational",NA,"00:00:00",NA,1170,32.7077368498649,"SE",1.34107584318464,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.47,0.06
38268,410,619,1293,"Observational",NA,"00:00:00",NA,1170,33.5927724744834,"SE",0.941439440576786,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.43,0.04
38269,410,619,1293,"Observational",NA,"00:00:00",NA,1170,33.5767160995117,"SE",0.587294398874145,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.43,0.025
38270,410,619,1293,"Observational",NA,"00:00:00",NA,1170,34.5484973341075,"SE",0.746367382751135,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.39,0.03
38271,410,619,1293,"Observational",NA,"00:00:00",NA,1170,29.643492256055,"SE",0.641062912711658,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.62,0.035
38272,410,619,1293,"Observational",NA,"00:00:00",NA,1170,27.7465972121881,"SE",0.160339119108809,4,"leafN",NA,-86.357952,38.951892,TRUE,FALSE,1.73,0.01
39728,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,32.4561884977373,"SE",0.878722121722809,6,"leafN",6,-74.029,41.406,FALSE,FALSE,1.48,0.04
39729,447,682,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,35.0533363234681,"SE",0.768359640111469,6,"leafN",6,-74.029,41.406,FALSE,FALSE,1.37,0.03
41212,480,336,1497,"observational",1994-07-01 05:00:00,"00:00:00",NA,1170,20.1418034514666,"SE",1.71405486653847,6,"leafN",7,-83.444109,35.120512,TRUE,FALSE,2.4,0.2
41213,480,336,1497,"observational",1994-07-01 05:00:00,"00:00:00",NA,1170,21.0309898164669,"SE",1.87126243277785,8,"leafN",7,-83.444109,35.120512,TRUE,FALSE,2.3,0.2
44406,598,336,1749,"observational",NA,"00:00:00",NA,1170,21.7194570135747,"",NA,NA,"leafN",NA,-83.444109,35.120512,TRUE,FALSE,2.21,NA
44735,603,796,1779,"observational",NA,"00:00:00",NA,1170,20.5157103473074,"SE",0.243167454504821,13,"leafN",NA,-71.288077,44.06464,TRUE,FALSE,2.34,0.0277350098112615
26554,332,527,1062,"Ambient",1999-06-01 00:00:00,"00:00:00",NA,1170,20.0349053908673,"SE",0.838758046743098,6,"leafN",6,-74.3,42.2,TRUE,FALSE,2.4,0.1
26555,332,527,1063,"Fertilized",1999-06-01 00:00:00,"00:00:00",NA,1170,20.5584490713003,"SE",0.972410538074311,6,"leafN",6,-74.3,42.2,FALSE,FALSE,2.34,0.11
37481,401,611,1255,"Observational",NA,"00:00:00",NA,1170,21.014917734388,"SE",1.77212035692001,6,"leafN",NA,-77.916746,40.655393,TRUE,FALSE,2.3,0.19
38712,415,625,1316,"Observational",NA,"00:00:00",NA,1170,16.1073825503356,"",NA,NA,"leafN",NA,-91.03,43.85,TRUE,FALSE,2.98,NA
38753,415,629,1316,"Observational",NA,"00:00:00",NA,1170,22.7488151658768,"",NA,NA,"leafN",NA,-90.12,42.95,TRUE,FALSE,2.11,NA
50474,729,1115,2156,"Rural",NA,NA,NA,1170,62.3376623376623,"",NA,NA,"leafN",NA,-73.2833,41.8167,TRUE,NA,0.77,NA
41221,405,311,1268,"High Light",1988-12-31 06:00:00,"00:00:00",NA,1170,1.3421,"SE",0.01,NA,"fineroot2leaf",12,-89.423525,43.077455,TRUE,TRUE,1.3421,0.01
26726,336,NA,0,NA,NA,"00:00:00",0,1170,1.39,"",NA,1,"FRC_LC",NA,NA,NA,NA,NA,1.39,NA
34952,338,551,1095,"TurnUU",1999-06-01 00:00:00,"00:00:00",NA,1170,9.2,"SE",0.26,9,"SLA",6,-74.02,41.4,TRUE,FALSE,9.2,0.26
34953,338,551,1096,"TurnLU",1999-06-01 00:00:00,"00:00:00",NA,1170,11.1,"SE",0.91,9,"SLA",6,-74.02,41.4,TRUE,FALSE,11.1,0.91
34954,338,551,1097,"TurnUM",1999-06-01 00:00:00,"00:00:00",NA,1170,14.3,"SE",0.45,9,"SLA",6,-74.02,41.4,TRUE,FALSE,14.3,0.45
34955,338,551,1098,"TurnLM",1999-06-01 00:00:00,"00:00:00",NA,1170,11.2,"SE",0.33,9,"SLA",6,-74.02,41.4,TRUE,FALSE,11.2,0.33
34956,338,551,1099,"TurnUL",1999-06-01 00:00:00,"00:00:00",NA,1170,12.8,"SE",0.53,9,"SLA",6,-74.02,41.4,TRUE,FALSE,12.8,0.53
34957,338,551,1100,"TurnLL",1999-06-01 00:00:00,"00:00:00",NA,1170,15.2,"SE",0.52,9,"SLA",6,-74.02,41.4,TRUE,FALSE,15.2,0.52
38226,410,619,1293,"Observational",NA,"00:00:00",NA,1170,9.16,"SE",0.525,4,"SLA",NA,-86.357952,38.951892,TRUE,FALSE,9.16,0.525
38227,410,619,1293,"Observational",NA,"00:00:00",NA,1170,10.11,"SE",0.705,4,"SLA",NA,-86.357952,38.951892,TRUE,FALSE,10.11,0.705
38228,410,619,1293,"Observational",NA,"00:00:00",NA,1170,8.74,"SE",0.255,4,"SLA",NA,-86.357952,38.951892,TRUE,FALSE,8.74,0.255
38229,410,619,1293,"Observational",NA,"00:00:00",NA,1170,10.87,"SE",1.055,4,"SLA",NA,-86.357952,38.951892,TRUE,FALSE,10.87,1.055
38230,410,619,1293,"Observational",NA,"00:00:00",NA,1170,10.65,"SE",0.505,4,"SLA",NA,-86.357952,38.951892,TRUE,FALSE,10.65,0.505
38231,410,619,1293,"Observational",NA,"00:00:00",NA,1170,11.14,"SE",0.405,4,"SLA",NA,-86.357952,38.951892,TRUE,FALSE,11.14,0.405
38835,424,639,1329,"Observational",NA,"00:00:00",NA,1170,11.45,"SE",0.35,60,"SLA",NA,-90.116667,45.8,TRUE,FALSE,11.45,0.35
39720,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,8.95,"SE",0.27,6,"SLA",6,-74.029,41.406,FALSE,FALSE,8.95,0.27
39721,447,682,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,10.54,"SE",0.65,6,"SLA",6,-74.029,41.406,FALSE,FALSE,10.54,0.65
37380,398,609,1254,"No nitrogen, ambient CO2",NA,"00:00:00",NA,1170,17.42,"SE",2.69,3,"SLA",NA,-72.02,42.08,TRUE,FALSE,17.42,2.69
37386,398,609,1253,"Elevated CO2",NA,"00:00:00",NA,1170,13.84,"SE",2.63,3,"SLA",NA,-72.02,42.08,FALSE,FALSE,13.84,2.63
38714,415,625,1316,"Observational",NA,"00:00:00",NA,1170,13.1,"",NA,NA,"SLA",NA,-91.03,43.85,TRUE,FALSE,13.1,NA
38755,415,629,1316,"Observational",NA,"00:00:00",NA,1170,13.5,"",NA,NA,"SLA",NA,-90.12,42.95,TRUE,FALSE,13.5,NA
39928,449,700,1432,"Canopy Level",1996-07-30 05:00:00,"00:00:00",NA,1170,10.4,"SE",0.62,6,"SLA",7,-83.41,35.05,FALSE,FALSE,10.4,0.62
39929,449,700,1433,"Canopy Level",1996-07-30 05:00:00,"00:00:00",NA,1170,15.7,"SE",2.48,12,"SLA",7,-83.41,35.05,FALSE,FALSE,15.7,2.48
39930,449,700,1434,"Canopy Level",1996-07-30 05:00:00,"00:00:00",NA,1170,18.1,"SE",1.33,18,"SLA",7,-83.41,35.05,FALSE,FALSE,18.1,1.33
37987,405,311,1268,"High Light",1989-01-01 00:00:00,"00:00:00",NA,1170,16.8692221242953,"SE",0.313108881667284,2,"LMA",1,-89.423525,43.077455,TRUE,TRUE,0.0593,0.0011
38968,426,641,1335,"High light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,1170,16.0696695869022,"SE",0.543272383648811,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.0623,0.0021
38969,426,641,1334,"Low light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,1170,23.019738639395,"SE",0.849751287186,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.0435,0.0016
38970,426,641,1336,"Low light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,1170,24.2495839831822,"SE",0.943251758512229,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.0413,0.0016
38971,426,641,1337,"High light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,1170,16.8268764685694,"SE",1.67413818062991,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.06,0.0058
44413,598,336,1749,"observational",NA,"00:00:00",NA,1170,0.128205128205128,"",NA,NA,"LMA",NA,-83.444109,35.120512,TRUE,FALSE,7.8,NA
25397,51,NA,1,"observational",NA,"00:00:00",NA,1170,43.2011611223199,"SE",12.7062238595058,1,"Vcmax",NA,NA,NA,TRUE,NA,51,15
25398,51,NA,1,"observational",NA,"00:00:00",NA,1170,30,"SE",2,1,"Vcmax",NA,NA,NA,TRUE,NA,30,2
25399,51,NA,1,"observational",NA,"00:00:00",NA,1170,15.247468631407,"SE",0.847081590633723,1,"Vcmax",NA,NA,NA,TRUE,NA,18,1
27366,338,551,1095,"TurnUU",1999-06-01 00:00:00,"00:00:00",NA,1170,55.5,"SE",2.7,9,"Vcmax",6,-74.02,41.4,TRUE,FALSE,55.5,2.7
27367,338,551,1096,"TurnLU",1999-06-01 00:00:00,"00:00:00",NA,1170,50.3,"SE",2.7,9,"Vcmax",6,-74.02,41.4,TRUE,FALSE,50.3,2.7
27368,338,551,1097,"TurnUM",1999-06-01 00:00:00,"00:00:00",NA,1170,57.6,"SE",3.9,9,"Vcmax",6,-74.02,41.4,TRUE,FALSE,57.6,3.9
27369,338,551,1098,"TurnLM",1999-06-01 00:00:00,"00:00:00",NA,1170,49.4,"SE",2.1,9,"Vcmax",6,-74.02,41.4,TRUE,FALSE,49.4,2.1
27370,338,551,1099,"TurnUL",1999-06-01 00:00:00,"00:00:00",NA,1170,48.9,"SE",2.8,9,"Vcmax",6,-74.02,41.4,TRUE,FALSE,48.9,2.8
27371,338,551,1100,"TurnLL",1999-06-01 00:00:00,"00:00:00",NA,1170,41.2,"SE",3.3,9,"Vcmax",6,-74.02,41.4,TRUE,FALSE,41.2,3.3
