"","distn","parama","paramb","n"
"f_labile","beta",1.5,1.5,0
"growth_resp_factor","beta",2.63,6.52,0
"seedling_mortality","beta",3.61,0.433,0
"quantum_efficiency","weibull",8.32,0.0552,74
"nonlocal_dispersal","beta",1.1,1.5,0
"fineroot2leaf","lnorm",0.21,0.6,0
"dark_respiration_factor","lnorm",-3.9,0.4,0
"r_fract","beta",2,4,0
"cuticular_cond","lnorm",8.4,0.9,0
"mort2","unif",5,80,NA
"plant_min_temp","unif",-100,-0.5,NA
"leaf_width","unif",0.1,200,NA
"leaf_turnover_rate","unif",0.04,1,NA
"SLA","unif",3,30,NA
"stomatal_slope","unif",2,16,NA
"Vm_low_temp","norm",5,2,NA
"c2n_leaf","unif",3,300,NA
"root_respiration_rate","unif",0,100,NA
"root_turnover_rate","unif",0,10,NA
"agf_bs","beta",1,1,NA
"Vcmax","unif",0,500,0
"c2n_fineroot","unif",0,500,0
"water_conductance","lnorm",-5.4,3,0
"mort1","unif",0.5,2,0
"mort3","unif",0,0.02,0
"b2Bs","norm",2.5,2,0
"b1Bs","lnorm",-1.2,4,0
"b2Bl","norm",1.5,2,0
"b1Bl","lnorm",-3.5,3,0
"b1Ht","unif",0,120,0
"b2Ht","unif",-0.2,0,0
"b1Ca","lnorm",0.9,4,0
"b2Ca","norm",0.8,0.6,0
