site,ensemble,date_start,date_end,finished,ed_error,ed_error_reason,model2netcdf_error
MANDIFORE-PNW-4538,1,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,2,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,3,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,4,2002-06-01,2012-05-01,FALSE,TRUE,Program received signal SIGABRT: Process abort signal.,FALSE
MANDIFORE-PNW-4538,5,2002-06-01,2012-05-01,FALSE,FALSE,NA,TRUE
MANDIFORE-PNW-4538,6,2002-06-01,2012-05-01,FALSE,FALSE,NA,TRUE
MANDIFORE-PNW-4538,7,2002-06-01,2012-05-01,FALSE,TRUE,Program received signal SIGABRT: Process abort signal.,FALSE
MANDIFORE-PNW-4538,8,2002-06-01,2010-08-01,FALSE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,9,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,10,2002-06-01,2011-06-01,FALSE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,11,2002-06-01,2010-12-01,FALSE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,12,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,13,2002-06-01,2010-12-01,FALSE,FALSE,NA,FALSE
MANDIFORE-PNW-4538,14,2002-06-01,2012-05-01,FALSE,FALSE,NA,TRUE
MANDIFORE-PNW-4538,15,2002-06-01,2012-05-01,FALSE,FALSE,NA,TRUE
MANDIFORE-PNW-7585,1,2002-06-01,2008-05-01,FALSE,TRUE,Program received signal SIGABRT: Process abort signal.,FALSE
MANDIFORE-PNW-7585,2,2002-06-01,2006-08-01,FALSE,TRUE,Program received signal SIGABRT: Process abort signal.,FALSE
MANDIFORE-PNW-7585,3,2002-06-01,2006-09-01,FALSE,TRUE,Program received signal SIGABRT: Process abort signal.,FALSE
