"","distn","parama","paramb","n"
"f_labile","beta",1.5,1.5,0
"seedling_mortality","beta",3.61,0.433,0
"growth_resp_factor","beta",4.06,7.2,0
"nonlocal_dispersal","beta",1.1,1.5,0
"fineroot2leaf","lnorm",0.21,0.6,0
"r_fract","beta",2,4,0
"mort2","unif",5,80,NA
"leaf_width","unif",0.1,200,NA
"stomatal_slope","unif",2,16,NA
"Vm_low_temp","norm",5,2,NA
"root_respiration_rate","unif",0,100,NA
"root_turnover_rate","unif",0,10,NA
"Vcmax","unif",0,500,0
"c2n_fineroot","unif",0,500,0
"water_conductance","lnorm",-5.4,3,0
"SLA","gamma",5.13,0.234,593
"c2n_leaf","gamma",15.53,0.87,387
"quantum_efficiency","weibull",3.32,0.08,0
"leaf_respiration_rate_m2","gamma",1.5,0.4,NA
