"id","genus","species","scientificname"
62,"Ailanthus","altissima","Ailanthus altissima"
68,"Albizia","julibrissin","Albizia julibrissin"
78,"Alnus",NA,"Alnus"
93,"Amelanchier","alnifolia","Amelanchier alnifolia"
94,"Amelanchier","arborea","Amelanchier arborea"
181,"Betula",NA,"Betula"
183,"Betula","alleghaniensis","Betula alleghaniensis"
187,"Betula","lenta","Betula lenta"
189,"Betula","nigra","Betula nigra"
190,"Betula","papyrifera","Betula papyrifera"
193,"Betula","populifolia","Betula populifolia"
227,"Bursera","simaruba","Bursera simaruba"
295,"Catalpa",NA,"Catalpa"
296,"Catalpa","bignoniodes","Catalpa bignoniodes"
297,"Catalpa","speciosa","Catalpa speciosa"
480,"Elaeagnus","angustifolia","Elaeagnus angustifolia"
555,"Ficus","aurea","Ficus aurea"
602,"Gleditsia",NA,"Gleditsia"
604,"Gleditsia","triacanthos","Gleditsia triacanthos"
627,"Gymnocladus","dioicus","Gymnocladus dioicus"
671,"Ilex","ambigua","Ilex ambigua"
756,"Larix","laricina","Larix laricina"
760,"Larix","spp","Larix spp"
787,"Liquidambar","styraciflua","Liquidambar styraciflua"
788,"Liriodendron","tulipifera","Liriodendron tulipifera"
814,"Maclura","pomifera","Maclura pomifera"
825,"Malus",NA,"Malus spp."
845,"Melia","azedarach","Melia azedarach"
945,"Paulownia","tomentosa","Paulownia tomentosa"
1068,"Populus",NA,"Populus"
1069,"Populus","alba","Populus alba"
1070,"Populus","balsamifera","Populus balsamifera"
1071,"Populus","deltoides","Populus deltoides sub monilifera"
1072,"Populus","deltoides","Populus deltoides"
1076,"Populus","grandidentata","Populus grandidentata"
1080,"Populus","tremuloides","Populus tremuloides"
1089,"Prosopis",NA,"Prosopis"
1090,"Prosopis","glandulosa","Prospopis glandulosa"
1092,"Prosopis","pubescens","Prosopis pubescens"
1094,"Prunus",NA,"Prunus"
1095,"Prunus","americana","Prunus americana"
1096,"Prunus","avium","Prunus avium"
1099,"Prunus","nigra","Prunus nigra"
1100,"Prunus","pensylvanica","Prunus pensylvanica"
1103,"Prunus","serotina","Prunus serotina"
1105,"Prunus","virginiana","Prunus virginiana"
1215,"Robinia","pseudoacacia","Robinia pseudoacacia"
1243,"Salix",NA,"Salix"
1244,"Salix","alba","Salix alba"
1248,"Salix","bebbiana","Salix bebbiana"
1251,"Salix","caroliniana","Salix caroliniana"
1257,"Salix","nigra","Salix nigra"
1262,"Salix","sepulcralis","Salix sepulcralis"
1301,"Sideroxylon","lanuginosum","Sideroxylon lanuginosum ssp. lanuginosum"
1459,"Vernicia","fordii","Vernicia fordii"
20880,"Betula",NA,"Betula glandulosa"
21426,"Alnus",NA,"Alnus incana"
49938,"Amelanchier",NA,"Amelanchier spicata"
