"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
41443,381,76,1220,"observational",NA,"00:00:00",NA,1072,5.6337,"SE",0.646632301492381,3,"stomatal_slope",NA,-88.202,40.0637,TRUE,FALSE,5.6337,0.646632301492381
41444,381,76,1220,"observational",NA,"00:00:00",NA,1072,5.658,"SE",0.565803263805833,3,"stomatal_slope",NA,-88.202,40.0637,TRUE,FALSE,5.658,0.565803263805833
41445,381,76,1220,"observational",NA,"00:00:00",NA,1072,4.5837,"SE",0.450333209967908,3,"stomatal_slope",NA,-88.202,40.0637,TRUE,FALSE,4.5837,0.450333209967908
41446,381,76,1220,"observational",NA,"00:00:00",NA,1072,7.74,"SE",0.300222139978605,3,"stomatal_slope",NA,-88.202,40.0637,TRUE,FALSE,7.74,0.300222139978605
42659,537,844,1600,"observational",NA,"00:00:00",NA,788,8.5,"",NA,NA,"stomatal_slope",NA,135.72505,35.001942,TRUE,FALSE,8.5,NA
42661,537,844,1600,"observational",NA,"00:00:00",NA,1094,7.2,"",NA,NA,"stomatal_slope",NA,135.72505,35.001942,TRUE,FALSE,7.2,NA
22104,229,669,740,"ambient CO2 level",2010-09-27 00:00:00,"19:58:00",NA,787,17.7,"SE",NA,NA,"SLA",9,-84.33,35.9,TRUE,FALSE,17.7,NA
24672,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",94,1072,15.61,"",NA,4,"SLA",6,-92.77,39.02,NA,FALSE,15.61,NA
24673,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",95,1072,18.18,"",NA,4,"SLA",6,-92.77,39.02,NA,FALSE,18.18,NA
24674,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",96,1072,16.85,"",NA,4,"SLA",6,-92.77,39.02,NA,FALSE,16.85,NA
24739,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,1072,17.47,"SE",1.1,4,"SLA",6,1.87,47.77,TRUE,NA,17.47,1.1
24742,105,451,464,"plant date/rotation",2001-06-17 00:00:00,"00:00:00",268,1072,12.646,"",NA,NA,"SLA",6,-0.83,51.12,TRUE,NA,12.646,NA
26330,322,499,979,"Abrpennsw",1991-05-02 05:00:00,"00:00:00",NA,1103,2.545,"",NA,NA,"SLA",5,-77.85,40.78,TRUE,TRUE,2.545,NA
26331,322,499,979,"Abrpennsw",1991-05-02 05:00:00,"00:00:00",NA,1103,3.717,"",NA,NA,"SLA",5,-77.85,40.78,TRUE,TRUE,3.717,NA
27315,337,550,1086,"Gotts8",1982-04-01 00:00:00,"00:00:00",NA,1103,26.3170022661158,"SE",0.178173805999133,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.038,0.000257335928539937
27316,337,550,1087,"Gotts20",1982-04-01 00:00:00,"00:00:00",NA,1103,21.739516289465,"SE",0.0911824725651903,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.046,0.000193001946404953
27317,337,550,1088,"Gotts27",1982-04-01 00:00:00,"00:00:00",NA,1103,20.8339359264462,"SE",0.111660847043457,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.048,0.000257335928539937
27318,337,550,1089,"Gotts37",1982-04-01 00:00:00,"00:00:00",NA,1103,19.6081265388482,"SE",0.0741791036742509,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.051,0.000193001946404953
27319,337,550,1090,"Gotts45",1982-04-01 00:00:00,"00:00:00",NA,1103,17.8577355190758,"SE",0.102547286854829,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.056,0.000321669910674922
27320,337,550,1091,"Gotts57",1982-04-01 00:00:00,"00:00:00",NA,1103,16.9494775349871,"SE",0.073903322377196,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.059,0.000257335928539937
27321,337,550,1092,"Gotts70",1982-04-01 00:00:00,"00:00:00",NA,1103,15.6269161310289,"SE",0.172786684501171,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.064,0.000707673803484827
27323,337,550,1093,"Gotts94",1982-04-01 00:00:00,"00:00:00",NA,1103,16.6668410111815,"SE",0.0535936539897547,5,"LMA",4,-79.14,41.84,TRUE,FALSE,0.06,0.000193001946404953
27325,337,550,1086,"Gotts8",1982-04-01 00:00:00,"00:00:00",NA,1103,37.0404130608905,"SE",0.352986110544956,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.027,0.000257335928539937
27326,337,550,1087,"Gotts20",1982-04-01 00:00:00,"00:00:00",NA,1103,26.3176825039421,"SE",0.222738965081616,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.038,0.000321669910674922
27327,337,550,1088,"Gotts27",1982-04-01 00:00:00,"00:00:00",NA,1103,24.3907883189094,"SE",0.114780066584165,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.041,0.000193001946404953
27328,337,550,1089,"Gotts37",1982-04-01 00:00:00,"00:00:00",NA,1103,22.2229532364272,"SE",0.127047088601649,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.045,0.000257335928539937
27332,337,550,1090,"Gotts45",1982-04-01 00:00:00,"00:00:00",NA,1103,18.5189421006837,"SE",0.088223904289737,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.054,0.000257335928539937
27333,337,550,1091,"Gotts57",1982-04-01 00:00:00,"00:00:00",NA,1103,16.9493358678064,"SE",0.0554258522090641,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.059,0.000193001946404953
27334,337,550,1092,"Gotts70",1982-04-01 00:00:00,"00:00:00",NA,1103,15.1516462899428,"SE",0.0442920019635207,5,"LMA",4,-79.14,41.84,FALSE,FALSE,0.066,0.000193001946404953
27335,337,550,1093,"Gotts94",1982-04-01 00:00:00,"00:00:00",NA,1103,15.8738307118274,"SE",0.113442697416797,5,"LMA",4,-79.14,41.84,TRUE,FALSE,0.063,0.00045033787494489
37001,383,599,1225,"Observational",1991-03-01 00:00:00,"00:00:00",NA,787,22.4020245206127,"SE",2.03979684736504,NA,"LMA",3,-76.93,39.03,TRUE,NA,0.045,0.004
37002,383,599,1225,"Observational",1991-03-01 00:00:00,"00:00:00",NA,787,21.3643304144203,"SE",1.3800045888935,NA,"LMA",3,-76.93,39.03,TRUE,NA,0.047,0.003
37003,383,599,1225,"Observational",1991-03-01 00:00:00,"00:00:00",NA,787,18.2363898905993,"SE",1.00321290040529,NA,"LMA",3,-76.93,39.03,TRUE,NA,0.055,0.003
37004,383,599,1225,"Observational",1991-03-01 00:00:00,"00:00:00",NA,787,16.4119715853347,"SE",2.23573700597708,NA,"LMA",3,-76.93,39.03,TRUE,NA,0.062,0.008
37072,385,300,1228,"Observational",1998-11-01 00:00:00,"00:00:00",NA,787,17.2015626455707,"SE",0.922062295668356,NA,"LMA",11,-79.015,35.97,TRUE,FALSE,0.0583,0.0031
37073,385,300,1228,"Observational",1998-11-01 00:00:00,"00:00:00",NA,787,13.9321478952369,"SE",0.780888985520447,NA,"LMA",11,-79.015,35.97,TRUE,FALSE,0.072,0.004
37154,388,601,1237,"Observational",1999-07-01 00:00:00,"00:00:00",NA,787,9.75439802195416,"SE",0.276245303498316,2,"LMA",7,-87.46,36.39,TRUE,NA,0.1026,0.0029
37155,388,601,1237,"Observational",1999-08-01 00:00:00,"00:00:00",NA,787,8.81485733001392,"SE",0.194357424675671,2,"LMA",8,-87.46,36.39,TRUE,NA,0.1135,0.0025
37156,388,601,1237,"Observational",2000-05-01 00:00:00,"00:00:00",NA,787,12.8430982555574,"SE",0.280550849224908,2,"LMA",5,-87.46,36.39,TRUE,NA,0.0779,0.0017
37157,388,601,1237,"Observational",2000-07-01 00:00:00,"00:00:00",NA,787,10.437094240027,"SE",0.316338217391423,2,"LMA",7,-87.46,36.39,TRUE,NA,0.0959,0.0029
37161,389,599,1238,"Observational",1991-01-01 00:00:00,"00:00:00",NA,787,22.507179426079,"SE",2.60013637005508,NA,"LMA",1,-76.93,39.03,NA,NA,0.045,0.005
37259,229,669,740,"ambient CO2 level",1998-07-01 00:00:00,"00:00:00",NA,787,9.55520855399402,"SE",0.551168548002167,3,"LMA",7,-84.33,35.9,TRUE,FALSE,0.105,0.006
37260,229,669,740,"ambient CO2 level",1998-08-01 00:00:00,"00:00:00",NA,787,8.41289090310884,"SE",0.283615188257423,3,"LMA",8,-84.33,35.9,TRUE,FALSE,0.119,0.004
37261,229,669,740,"ambient CO2 level",1999-05-01 00:00:00,"00:00:00",NA,787,11.3728344883687,"SE",0.323728064922318,3,"LMA",5,-84.33,35.9,TRUE,FALSE,0.088,0.0025
37262,229,669,740,"ambient CO2 level",1999-06-01 00:00:00,"00:00:00",NA,787,9.63776269133992,"SE",0.466368556438903,3,"LMA",6,-84.33,35.9,TRUE,FALSE,0.104,0.005
