"site_id","sitename","lon","lat","format_name","file_path","filename","start_date","end_date","duration","created_at"
"1000026939","Moody AFB","-83.1753","30.984401","ed.met_driver_header files format","/projectnb/dietzelab/mccabete/test_pecan/cogongrass_projections/GFDL/moody_AFB/only_co2/ED_driver/Ed_driver/","Cmip5_RCP8.5_Present_day_temp","1/1/2006 06:00:00","1/1/2100 05:59:00","93 years 11 mons 30 days 23:59:00","6/4/2022 18:19:38.277567"
"1000026939","Moody AFB","-83.1753","30.984401","ed.met_driver_header files format","/projectnb/dietzelab/mccabete/test_pecan/cogongrass_projections/GFDL/moody_AFB/with_co2/ED_driver/","CMIP5_RCP8.5_with_Co2","1/1/2006 06:00:00","13/12/2100 05:59:00","94 years 11 mons 11 days 23:59:00","6/4/2022 18:17:08.145333"
"1000026939","Moody AFB","-83.1753","30.984401","ed.met_driver_header files format","/projectnb/dietzelab/mccabete/test_pecan/cogongrass_projections/GFDL/moody_AFB/resampled_present_day/ED_driver","Cmip5_Present_day","1/1/2006 06:00:00","1/1/2100 05:59:00","93 years 11 mons 30 days 23:59:00","6/4/2022 18:20:12.154345"
"1000026939","Moody AFB","-83.1753","30.984401","ED2.cohort","/projectnb/dietzelab/tmccabe/mccabete/SERDP_init_files/moodyb1_trees/","moody_css_trees",,,,"6/4/2022 18:04:58.76569"
"1000026939","Moody AFB","-83.1753","30.984401","ed.met_driver_header files format","/projectnb/dietzelab/mccabete/test_pecan/cogongrass_projections/GFDL/moody_AFB/no_co2/ED_driver","Cmip5_RCP8.5_No_Co2","1/1/2006 06:00:00","13/12/2100 05:59:00","94 years 11 mons 11 days 23:59:00","6/4/2022 18:18:36.947646"
"1000026939","Moody AFB","-83.1753","30.984401","ED2.cohort","/projectnb/dietzelab/tmccabe/mccabete/SERDP_init_files/moodyb1_cogon/","mood_cogon_css",,,,"7/4/2022 18:32:47.797841"
"1000026939","Moody AFB","-83.1753","30.984401","ED2.cohort","/projectnb/dietzelab/tmccabe/mccabete/SERDP_init_files/moodyb1_cogon_trees/","moody_cogon_trees_css",,,,"7/4/2022 18:43:55.132495"
"762","Ivotuk (US-Ivo)","-155.75","68.4865","ed.met_driver_header files format","/projectnb/dietzelab/met3/US-Ivo","ED_MET_DRIVER_HEADER","1/1/2003 06:00:00","31/12/2006 06:00:00","3 years 11 mons 30 days","13/12/2011 22:01:33"
"755","Duke Forest-hardwoods (US-Dk2)","-79.1004","35.9736","ed.met_driver_header files format","/projectnb/dietzelab/dietze/ebi-cluster/inputs/FACE/duke/met/NCEAS/","ED_MET_DRIVER_HEADER Duke Forest-hardwoods (US-Dk2) - Durham NC, US","1/1/2001 00:00:00","1/10/2007 04:30:00","6 years 9 mons 04:30:00","4/11/2014 12:39:06.377602"
"676","Willow Creek (US-WCr)","-90.07961","45.805925","ed.met_driver_header files format","/projectnb/dietzelab/met3/US-WCr/","ED_MET_DRIVER_HEADER","1/1/1998 06:00:00","31/12/2006 06:00:00","8 years 11 mons 30 days","14/12/2011 17:42:55"
"758","Harvard Forest EMS Tower/HFR1 (US-Ha1)","-72.1715","42.5378","ed.met_driver_header files format","/projectnb/dietzelab/met3/US-Ha1","ED_MET_DRIVER_HEADER","1/1/1991 06:00:00","31/12/2006 06:00:00","15 years 11 mons 30 days","13/12/2011 21:44:54"
"1000000008","Rhinelander Aspen FACE Experiment (FACE-RHIN)","-89.5","45.6","ed.met_driver_header files format","/projectnb/dietzelab/pecan.data/input/FACE_e_ED2_site_1-8","ED_MET_DRIVER_HEADER","1/1/1998 00:00:00","31/12/2008 00:00:00","10 years 11 mons 30 days","2/12/2015 04:20:07.301104"
